suite	id	result	method
structured_lemma	structured_lemma_qsynth_ea_csv_249_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_16	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_249_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_18	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_249_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_20	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_21	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_22	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_23	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_24	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_25	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_26	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_249_27	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_249_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_20	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_25_9	UNSAT	direct
