case,nodes,variables,median_seconds
qsynth_ea:260,225,3,0.001391765
qsynth_ea:261,16,1,0.000014050
qsynth_ea:262,269,2,0.000841338
qsynth_ea:263,684,3,0.001917143
qsynth_ea:264,346,2,0.000152500
qsynth_ea:265,96,2,0.000156429
qsynth_ea:266,236,2,0.000133060
qsynth_ea:267,495,3,0.007568443
qsynth_ea:268,185,2,0.000330008
qsynth_ea:269,163,3,0.000087689
qsynth_ea:270,152,2,0.001033967
qsynth_ea:271,294,3,0.002387912
qsynth_ea:272,467,3,0.001733654
qsynth_ea:273,81,2,0.000027700
qsynth_ea:274,248,2,0.000617998
qsynth_ea:275,99,3,0.000122960
qsynth_ea:276,636,3,0.001097306
qsynth_ea:277,393,2,0.003639588
qsynth_ea:278,414,2,0.000681878
qsynth_ea:279,69,1,0.000038910
qsynth_ea:280,444,2,0.000701358
qsynth_ea:281,102,2,0.000056650
qsynth_ea:282,175,2,0.000371259
qsynth_ea:283,1845,2,0.003931866
qsynth_ea:284,397,2,0.000389858
qsynth_ea:285,56,3,0.000028770
qsynth_ea:286,356,2,0.000129720
qsynth_ea:287,76,2,0.000147299
qsynth_ea:288,357,3,0.000022199
qsynth_ea:289,289,2,0.000549358
qsynth_ea:290,99,2,0.000125750
qsynth_ea:291,242,3,0.000053920
qsynth_ea:292,626,2,0.000896247
qsynth_ea:293,221,2,0.000657207
qsynth_ea:294,219,2,0.000861887
qsynth_ea:295,191,2,0.000682758
qsynth_ea:296,971,2,0.001904844
qsynth_ea:297,181,2,0.000091749
qsynth_ea:298,1105,2,0.004529645
qsynth_ea:299,102,2,0.000083780
qsynth_ea:300,172,2,0.000437168
qsynth_ea:301,184,2,0.000121389
qsynth_ea:302,73,2,0.000064920
qsynth_ea:303,178,2,0.001173795
qsynth_ea:304,645,2,0.000210899
qsynth_ea:305,468,3,0.002232081
qsynth_ea:306,429,3,0.000342738
qsynth_ea:307,264,1,0.000072100
qsynth_ea:308,90,3,0.000072999
qsynth_ea:309,125,3,0.000417508
qsynth_ea:310,212,2,0.000088750
qsynth_ea:311,99,2,0.000082840
qsynth_ea:312,226,2,0.000223519
qsynth_ea:313,409,2,0.000317279
qsynth_ea:314,302,2,0.001240856
qsynth_ea:315,144,2,0.000106389
qsynth_ea:316,423,2,0.002158781
qsynth_ea:317,332,2,0.000170790
qsynth_ea:318,127,2,0.000566988
qsynth_ea:319,125,1,0.000034870
qsynth_ea:320,315,2,0.000375348
qsynth_ea:321,81,2,0.000027520
qsynth_ea:322,115,2,0.000327959
qsynth_ea:323,102,2,0.000058530
qsynth_ea:324,64,2,0.000104280
qsynth_ea:325,72,2,0.000083030
qsynth_ea:326,309,3,0.000211359
qsynth_ea:327,593,3,0.001736794
qsynth_ea:328,198,3,0.000257599
qsynth_ea:329,391,3,0.001788034
qsynth_ea:330,488,3,0.003426138
qsynth_ea:331,112,2,0.000336969
qsynth_ea:332,345,2,0.000764457
qsynth_ea:333,410,2,0.000098580
qsynth_ea:334,272,2,0.000062250
qsynth_ea:335,35,2,0.000009150
qsynth_ea:336,133,2,0.000063720
qsynth_ea:337,561,2,0.000687577
qsynth_ea:338,238,2,0.000104979
qsynth_ea:339,233,3,0.000117210
qsynth_ea:340,27,3,0.000077020
qsynth_ea:341,181,3,0.000187489
qsynth_ea:342,105,2,0.000062490
qsynth_ea:343,209,3,0.000849477
qsynth_ea:344,42,2,0.000026679
qsynth_ea:345,42,3,0.000073070
qsynth_ea:346,467,3,0.002881309
qsynth_ea:347,31,2,0.000012049
qsynth_ea:348,73,2,0.000115460
