case,nodes,variables,median_seconds
qsynth_ea:312,226,2,0.000222330
qsynth_ea:313,409,2,0.000263099
qsynth_ea:314,302,2,0.001169906
qsynth_ea:315,144,2,0.000099990
qsynth_ea:316,423,2,0.002140163
qsynth_ea:317,332,2,0.000183000
qsynth_ea:318,127,2,0.000446289
qsynth_ea:319,125,1,0.000033139
qsynth_ea:320,315,2,0.000366999
qsynth_ea:321,81,2,0.000027890
qsynth_ea:322,115,2,0.000284629
qsynth_ea:323,102,2,0.000058220
qsynth_ea:324,64,2,0.000099479
qsynth_ea:325,72,2,0.000079110
qsynth_ea:326,309,3,0.000209339
qsynth_ea:327,593,3,0.001533115
qsynth_ea:328,198,3,0.000251779
qsynth_ea:329,391,3,0.001507855
qsynth_ea:330,488,3,0.003155809
qsynth_ea:331,112,2,0.000299419
qsynth_ea:332,345,2,0.000735608
qsynth_ea:333,410,2,0.000099970
qsynth_ea:334,272,2,0.000061180
qsynth_ea:335,35,2,0.000009349
qsynth_ea:336,133,2,0.000058530
qsynth_ea:337,561,2,0.000654028
qsynth_ea:338,238,2,0.000104709
qsynth_ea:339,233,3,0.000117599
qsynth_ea:340,27,3,0.000080070
qsynth_ea:341,181,3,0.000186199
qsynth_ea:342,105,2,0.000062420
qsynth_ea:343,209,3,0.000796437
qsynth_ea:344,42,2,0.000026720
qsynth_ea:345,42,3,0.000068770
qsynth_ea:346,467,3,0.002218983
qsynth_ea:347,31,2,0.000013070
qsynth_ea:348,73,2,0.000104529
qsynth_ea:349,100,3,0.000714698
qsynth_ea:350,179,2,0.000452109
qsynth_ea:351,372,2,0.001225355
qsynth_ea:352,353,3,0.000152920
qsynth_ea:353,48,2,0.000241999
qsynth_ea:354,553,3,0.005509800
qsynth_ea:355,116,2,0.000063260
qsynth_ea:356,1073,3,0.005110452
qsynth_ea:357,46,3,0.000065170
qsynth_ea:358,289,2,0.000101659
qsynth_ea:359,241,2,0.000322169
qsynth_ea:360,31,2,0.000080659
qsynth_ea:361,23,2,0.000009360
qsynth_ea:362,425,2,0.000194799
qsynth_ea:363,323,2,0.000155819
qsynth_ea:364,94,1,0.000094360
qsynth_ea:365,905,3,0.005482161
qsynth_ea:366,148,2,0.000099540
qsynth_ea:367,114,2,0.000141890
qsynth_ea:368,275,2,0.000197969
qsynth_ea:369,560,2,0.001752594
qsynth_ea:370,119,2,0.000683578
qsynth_ea:371,539,2,0.000668568
qsynth_ea:372,35,2,0.000048740
qsynth_ea:373,354,3,0.000692217
qsynth_ea:374,393,2,0.003042150
qsynth_ea:375,258,2,0.000747298
qsynth_ea:376,49,2,0.000026819
qsynth_ea:377,56,3,0.000270159
qsynth_ea:378,36,3,0.000077719
qsynth_ea:379,299,3,0.001826483
qsynth_ea:380,862,2,0.006325757
qsynth_ea:381,34,2,0.000035610
qsynth_ea:382,1009,2,0.005705799
qsynth_ea:383,597,2,0.000525888
qsynth_ea:384,58,2,0.000109439
qsynth_ea:385,268,2,0.000397979
qsynth_ea:386,442,3,0.001374556
qsynth_ea:387,397,3,0.000409399
qsynth_ea:388,77,2,0.000063620
qsynth_ea:389,44,2,0.000059620
qsynth_ea:390,45,2,0.000073690
qsynth_ea:391,393,2,0.003303078
qsynth_ea:392,190,2,0.000172370
qsynth_ea:393,203,2,0.000014960
qsynth_ea:394,183,2,0.000341839
qsynth_ea:395,54,1,0.000072050
qsynth_ea:396,69,2,0.000044750
qsynth_ea:397,113,2,0.000153890
qsynth_ea:398,77,2,0.000046720
qsynth_ea:399,165,3,0.000435558
qsynth_ea:400,122,2,0.000019390
qsynth_ea:401,86,3,0.000051630
qsynth_ea:402,248,2,0.001165235
qsynth_ea:403,76,2,0.000053240
qsynth_ea:404,252,3,0.001693213
qsynth_ea:405,280,2,0.000166120
qsynth_ea:406,595,3,0.000293049
qsynth_ea:407,372,2,0.000101539
qsynth_ea:408,119,3,0.000079760
qsynth_ea:409,67,2,0.000027150
qsynth_ea:410,46,3,0.000056160
qsynth_ea:411,271,3,0.001111325
qsynth_ea:412,81,2,0.000399119
qsynth_ea:413,46,2,0.000037790
qsynth_ea:414,254,2,0.000662698
qsynth_ea:415,50,1,0.000068680
qsynth_ea:416,129,3,0.000055419
qsynth_ea:417,111,3,0.000137580
qsynth_ea:418,127,2,0.000160999
qsynth_ea:419,154,3,0.000083539
qsynth_ea:420,419,2,0.000404338
qsynth_ea:421,260,2,0.001295196
qsynth_ea:422,606,2,0.000652828
qsynth_ea:423,113,2,0.000168329
qsynth_ea:424,24,2,0.000008790
qsynth_ea:425,2641,2,0.008973378
qsynth_ea:426,245,2,0.000114600
qsynth_ea:427,394,3,0.000979377
qsynth_ea:428,94,2,0.000130200
qsynth_ea:429,301,2,0.000339179
qsynth_ea:430,359,3,0.002595191
qsynth_ea:431,115,2,0.000171989
qsynth_ea:432,47,2,0.000083550
qsynth_ea:433,299,3,0.000986916
qsynth_ea:434,121,2,0.000273019
qsynth_ea:435,127,3,0.000016270
qsynth_ea:436,132,2,0.000138870
qsynth_ea:437,57,2,0.000013230
qsynth_ea:438,229,3,0.001363935
qsynth_ea:439,20,3,0.000008350
qsynth_ea:440,480,2,0.000098840
qsynth_ea:441,43,2,0.000015179
qsynth_ea:442,921,2,0.003701787
qsynth_ea:443,243,2,0.000258519
